"";"article_number";"article_title";"article_text";"Obs.";"Issue.1";"Domain.1";"Project.1";"Issue.2";"Domain.2";"Project.2"
"1";"Art. 1";"  Art. 11";"Diese Verordnung regelt die Zuständigkeiten und das Verfahren: a.bei der Warnung und Alarmierung sowie bei der Erteilung und Verbreitung von Verhaltensanweisungen an die Bevölkerung;b.für den Betrieb, den Unterhalt und den Werterhalt eines Sicherheitsfunknetzes der Behörden und Organisationen für Rettung und Sicherheit, das von Bund, Kantonen und Betreibern von kritischen Infrastrukturen genutzt wird. 1 Fassung gemäss Ziff. I der V vom 15. Febr. 2017, in Kraft seit 1. März 2017 (AS 2017 605).";"";NA;NA;"Alarmierung";NA;NA;""
"2";"Art. 2";"  Art. 2 Vorwarnung, Warnung und Entwarnung";"1 Eine Gefahr wird möglichst frühzeitig durch eine Warnung den zuständigen Stellen des Bundes, der Kantone und der Gemeinden gemeldet. Diese sorgen dafür, dass rechtzeitig die Einsatzbereitschaft für eine spätere Alarmierung erstellt werden kann. 2 Bei Naturgefahren wird nach den Behörden auch die Bevölkerung gewarnt, wenn dies der zuständigen Fachstelle gemäss Artikel 9 in der konkreten Situation notwendig erscheint. Bei hoher Dringlichkeit wird die Bevölkerung gleichzeitig gewarnt. Die Warnung kann mit unverbindlichen Verhaltensempfehlungen ergänzt werden. 3 Bei grösserer Unsicherheit, ob eine Naturgefahr eintreten wird, ergeht eine Vorwarnung an die Behörden. 4 Eine Vorwarnung und eine Warnung werden befristet oder unbefristet ausgesprochen. Bei unbefristeten Vorwarnungen und Warnungen muss nach Ende der Gefahr Entwarnung gegeben werden. 5 Die Bestimmungen für Warnungen vor Naturgefahren gelten für Erdbebenmeldungen sinngemäss.";"Abschnitt 2: nur Artikel 2 als Schlüsselartikel kodiert, jedoch alle mehr oder weniger relevant für Alarmierung";NA;NA;"Alarmierung";NA;NA;""
"3";"Art. 3";"  Art. 3 Alarmierungsbereitschaft";"1 Bei drohender Gefahr ordnen die folgenden Stellen Alarmierungsbereitschaft an: a.die Nationale Alarmzentrale (NAZ): bei allen Ereignissen, für deren Bewältigung der Bund zuständig ist;b.die von den Kantonen bezeichneten Stellen: bei allen Ereignissen, für deren Bewältigung die Kantone zuständig sind. 2 Die Alarmierungsbereitschaft ist erstellt, wenn: a.die Alarmierungsmittel betriebsbereit sind;b.sichergestellt ist, dass die Alarmierungsstellen die Alarmierungsaufträge über Radio empfangen können; undc.das Alarmierungspersonal einsatzbereit ist.";"";NA;NA;"";NA;NA;""
"4";"Art. 4";"  Art. 4 Anordnung der Alarmierung und der Verbreitung von Verhaltensanweisungen";"1 Ist nach Erstellung der Alarmierungsbereitschaft eine Alarmierung nötig, so wird die Bevölkerung mit stationären und mit mobilen Sirenen alarmiert; für abgelegene Gebäude erfolgt die Alarmierung per Telefon. Des Weiteren können der Bevölkerung über Radio und weitere Medien verbindliche Verhaltensanweisungen erteilt werden. 2 Erreicht eine Gefahr eine bestimmte Intensität, so ordnen die folgenden Stellen die Alarmierung und die Verbreitung von Verhaltensanweisungen an: a.die zuständige Stelle des Bundes bei Ereignissen, für deren Bewältigung der Bund zuständig ist;b.die von den Kantonen bezeichneten Stellen bei Ereignissen, für deren Bewältigung die Kantone zuständig sind. 3 Bei hoher Dringlichkeit ordnet die NAZ die Alarmierung in eigener Kompetenz an.";"";NA;NA;"";NA;NA;""
"5";"Art. 5";"  Art. 5 Aufträge zur Alarmierung und zur Verbreitung von Verhaltensanweisungen";"1 Die NAZ erteilt aufgrund der Anordnungen der Bundesstelle oder auf Veranlassung der kantonalen Stelle oder bei hoher Dringlichkeit den nachstehenden Stellen selbstständig die folgenden Aufträge: a.den von den Kantonen bezeichneten Stellen: den Auftrag, den allgemeinen Alarm auszulösen;b.der schweizerischen Radio- und Fernsehgesellschaft sowie den anderen nationalen, regionalen und lokalen Radioveranstaltern: den Auftrag, die Verhaltensanweisungen und die Informationen über Radio zu verbreiten. 2 Bei örtlich begrenzten Gefahren werden die Aufträge zur Alarmierung und zur Verbreitung von Verhaltensanweisungen wie folgt erteilt: a.in Friedenszeiten: nach den Vorschriften der Kantone;b.im Falle bewaffneter Konflikte: von den zuständigen zivilen Führungsorganen. 3 Treten aus einer Kernanlage radioaktive Stoffe innert weniger als einer Stunde aus, sodass vorsorgliche Schutzmassnahmen für die Bevölkerung der Zone 1 erforderlich sind (schneller Störfall), so erteilt der Betreiber der Kernanlage die Aufträge zur Alarmierung und zur Verbreitung von Verhaltensanweisungen und informiert unverzüglich die zuständigen Stellen des Bundes und der Kantone.";"";NA;NA;"";NA;NA;""
"6";"Art. 6";"  Art. 6 Information bei Sirenenalarmen";"1 Die zuständigen Stellen melden jeden Sirenenalarm oder Sirenenfehlalarm unverzüglich der Kantonspolizei; diese orientiert die NAZ. 2 Bei einem Sirenenfehlalarm veranlasst die Kantonspolizei überdies umgehend die Information der Bevölkerung über Radio.";"";NA;NA;"";NA;NA;""
"7";"Art. 7";"  Art. 7 Aufhebung der Alarmierungen und Verhaltensanweisungen";"1 Die Stelle, die den Alarm angeordnet hat, hebt nach Ende der Gefahr die Alarmierungen und die Verhaltensanweisungen auf. 2 Sie gibt die Aufhebung der Alarmierung und die Lockerung oder Aufhebung der Verhaltensanweisungen über Radio und weitere Medien bekannt.";"";NA;NA;"";NA;NA;""
"8";"Art. 8";"  Art. 8 Kennzeichnung";"Behördliche Warnungen und Verhaltensanweisungen staatlicher Stellen sind als solche zu kennzeichnen.";"?";NA;NA;"";NA;NA;""
"9";"Art. 9";"  Art. 9 Fachstellen des Bundes";"1 Für die Warnungen vor den nachstehenden Naturgefahren sind als Fachstellen des Bundes zuständig: a.gefährliche Wetterereignisse: das Bundesamt für Meteorologie und Klimatologie (MeteoSchweiz);b.Hochwasser und damit verbundene Rutschungen sowie Waldbrände: das Bundesamt für Umwelt (BAFU);c.Lawinengefahren: das Institut für Schnee- und Lawinenforschung (SLF) der Eidgenössischen Forschungsanstalt für Wald, Schnee und Landschaft (WSL);d.Erdbeben: der Schweizerische Erdbebendienst (SED). 2 Sind in einer Gefahrensituation mehrere Fachstellen zuständig, so bestimmen sie gemeinsam, wer die Federführung hat, und erlassen gemeinsame Vorwarnungen, Warnungen und Entwarnungen. 3 Die zuständige beziehungsweise federführende Fachstelle übermittelt die Vorwarnungen, Warnungen und Entwarnungender NAZ; diese leitet sie an die Behörden weiter. Ergehen Warnungen der Stufen 4 und 5 und die entsprechenden Entwarnungen auch an die Bevölkerung, so leitet die NAZ diese an die gemäss Radio- und Fernsehgesetzgebung zur Verbreitung verpflichteten Radio- und Fernsehveranstalter weiter. 4 Die Fachstellen des Bundes bestimmen in Absprache mit den zuständigen Stellen der Kantone: a.die Zusammenarbeit;b.die Inhalte und die Häufigkeit der Vorwarnungen und Warnungen;c.die Formulierung der Verhaltensempfehlungen. 5 Die Kantone ergänzen und präzisieren bei Bedarf für ihr Gebiet ausgegebene Warnungen.";"";NA;NA;"Alarmierung";NA;NA;""
"10";"Art. 10";"  Art. 10 Gefahrenskala";"1 Die Fachstellen des Bundes verwenden für die Warnungen vor Naturgefahren folgende Skala: Stufe 1 keine oder geringe Gefahr Stufe 2 mässige Gefahr Stufe 3 erhebliche Gefahr Stufe 4 grosse Gefahr Stufe 5 sehr grosse Gefahr 2 Sie bestimmen für die in ihre Zuständigkeit fallenden Naturgefahren in Absprache mit den zuständigen Stellen der Kantone, welche Kriterien für die Erreichung einer Gefahrenstufe gelten. Sie berücksichtigen dabei insbesondere die Stärke des Naturereignisses. 3 Der SED verwendet für die Erdbebenmeldungen eine analoge Skala, die sich nach der Stärke des Erdbebens richtet.";"";NA;NA;"Alarmierung";NA;NA;""
"11";"Art. 11";"  Art. 11 Störfälle in Kernanlagen";"1 Die Betreiber von Kernanlagen sind verantwortlich dafür, dass das Erreichen von Warn- und Alarmierungskriterien rechtzeitig erkannt und gemeldet wird. 2 Sie melden das Erreichen der Kriterien unverzüglich den folgenden Stellen: a.dem Eidgenössischen Nuklearsicherheitsinspektorat (ENSI);b.der NAZ;c.der zuständigen Stelle des Standortkantons. 3 Die NAZ warnt die zuständigen Stellen des Bundes und der Kantone.";"Kernanlagen Alarmierung";NA;NA;"";NA;NA;""
"12";"Art. 12";"  Art. 12 Überflutungsgefahr bei Stauanlagen";"1 Die Betreiber von Stauanlagen sind verantwortlich für die rechtzeitige Auslösung der Warnung oder Alarmierung im Falle ausserordentlicher Ereignisse, die eine Überflutungsgefahr im Abflussgebiet der Stauanlage verursachen können. 2 Sie übermitteln die Meldungen über die Auslösung der Warnung oder Alarmierung unverzüglich: a.der zuständigen Stelle des Standortkantons;b.1…c.dem Bundesamt für Energie. 3 Die zuständige Stelle des Standortkantons und das Bundesamt für Energie benachrichtigen unverzüglich die NAZ.2 1 Aufgehoben durch Ziff. I der V vom 29. Nov. 2013, mit Wirkung seit 1. Jan. 2014 (AS 2013 4475).2 Eingefügt durch Ziff. I der V vom 29. Nov. 2013, in Kraft seit 1. Jan. 2014 (AS 2013 4475).";"Staualagen spezifischer Alarmierungen. Verbindung Alarmierung-Stauanlagen";NA;NA;"Alarmierung";NA;NA;"Pruefung der Hochwassersicherheit von Staumauern"
"13";"Art. 13";"  Art. 13 Allgemeiner Alarm";"1 Die Bevölkerung wird mit dem allgemeinen Alarm alarmiert. Dieser ist ein regelmässig zwischen folgenden Frequenzen auf- und absteigender Ton: 400 Hz 250 Hz  2 Der allgemeine Alarm ertönt bei stationären Sirenen eine Minute lang und wird in den folgenden 5 Minuten einmal wiederholt. 3 Ertönt der allgemeine Alarm, so ist die Bevölkerung aufgefordert, Radio zu hören und die Verhaltensanweisungen entgegenzunehmen und zu befolgen.";"Allgemeiner Alarm vs. Wasseralarm";NA;NA;"";NA;NA;""
"14";"Art. 14";"  Art. 14 Wasseralarm";"1 Der Wasseralarm besteht aus 12 Tönen mit der folgenden Frequenz, die je 20 Sekunden dauern und in Abständen von 10 Sekunden aufeinander folgen: 200 Hz  2 Geht eine unmittelbare Gefahr von einer Stauanlage aus, so wird die Bevölkerung im Überflutungsbereich, der innert 2 Stunden von der Flutwelle erreicht wird (Nahzone), anschliessend an den allgemeinen Alarm mit dem Wasseralarm alarmiert. 3 Bei hoher Dringlichkeit wird die Bevölkerung in der Nahzone nur mit dem Wasseralarm alarmiert. In diesem Fall wird dieser in den folgenden fünf Minuten einmal wiederholt. 4 Ertönt der Wasseralarm, so muss die Bevölkerung das gefährdete Gebiet sofort verlassen.";"Wasseralarm. Verbindung Alarmierung-Stauanlagen";NA;NA;"Alarmierung";NA;NA;"Pruefung der Hochwassersicherheit von Staumauern"
"15";"Art. 15";"  Art. 15 Verwendung der Alarmierungszeichen";"Der allgemeine Alarm und der Wasseralarm dürfen ausschliesslich zur Alarmierung der Bevölkerung verwendet werden.";"";NA;NA;"Alarmierung";NA;NA;""
"16";"Art. 16";"  Art. 16 Bund";"1 Das Eidgenössische Departement für Verteidigung, Bevölkerungsschutz und Sport erlässt im Einvernehmen mit dem Eidgenössischen Departement für Umwelt, Verkehr, Energie und Kommunikation Vorschriften über das Verhalten der Bevölkerung bei Alarmierung. 2 Es erlässt Bestimmungen über die Durchführung von Sirenen- und Systemtests.1 3 Das Bundesamt für Bevölkerungsschutz (BABS) nimmt die folgenden Aufgaben wahr: a.Es legt die Anforderungen an die technischen Systeme zur Alarmierung der Bevölkerung fest und stellt diese mit Ausnahme der Sirenen bereit.b.Es sorgt für den Unterhalt und die ständige Betriebsbereitschaft der zentralen Komponenten der technischen Systeme zur Alarmierung der Bevölkerung.c.Es erteilt die Zulassungen für die Sirenen und legt die Mittel zur Verbreitung von Warnungen und Verhaltensanweisungen fest.2 1 Fassung gemäss Ziff. I der V vom 15. Febr. 2017, in Kraft seit 1. März 2017 (AS 2017 605).2 Fassung gemäss Ziff. I der V vom 15. Febr. 2017, in Kraft seit 1. März 2017 (AS 2017 605).";"Nicht kodiert, da eher um Verteilung der Kompetenzen über die Vorbereitung zur Alarmierung bezogen. ";NA;NA;"";NA;NA;""
"17";"Art. 17";"  Art. 17 Kantone";"1 Die Kantone sorgen für die Alarmierungsplanung. 2 Sie stellen nach den Vorgaben des Bundes bereit: a.die technischen Systeme zur Warnung der Behörden;b.die Sirenen.1 2bis Sie sorgen für den Unterhalt und durch periodische Kontrollen für die ständige Betriebsbereitschaft der technischen Systeme zur Warnung der Behörden, der dezentralen Komponenten der technischen Systeme zur Alarmierung der Bevölkerung sowie der Sirenen.2 2ter Sie stellen die notwendigen externen Notstromsysteme bereit und unterhalten diese.3 3 Sie legen die Massnahmen für die rechtzeitige Warnung der Behörden und die Alarmierung der Bevölkerung fest. 4 Sie sorgen dafür, dass sie jederzeit in der Lage sind, Meldungen und Aufträge entgegenzunehmen und diese an die zuständigen Stellen weiterzuleiten. 5 Sie stellen sicher, dass die Sirenen in den Zonen 1 und 2 von Kernanlagen über die Fernsteuerung gesamthaft und in der Zone 2 sektorweise zentral ausgelöst werden können. 6 Sie informieren die Bevölkerung im Überflutungsgebiet (Nahzone und Fernzone) von Stauanlagen mit Merkblättern und Informationsschriften vorsorglich über das Verhalten bei Gefahr.4 7 Sie regeln die Unterstützung der Betreiber von Stauanlagen mit Alarmierungspersonal. 8 Sie sorgen für die Einsatzbereitschaft der Alarmierungsorgane. 1 Fassung gemäss Ziff. I der V vom 29. Nov. 2013, in Kraft seit 1. Jan. 2014 (AS 2013 4475).2 Eingefügt durch Ziff. I der V vom 29. Nov. 2013, in Kraft seit 1. Jan. 2014 (AS 2013 4475).3 Eingefügt durch Ziff. I der V vom 29. Nov. 2013, in Kraft seit 1. Jan. 2014 (AS 2013 4475).4 Fassung gemäss Art. 20 Ziff. 2 der Notfallschutzverordnung vom 20. Okt. 2010, in Kraft seit 1. Jan. 2011 (AS 2010 5191).";"variable 1: Alarmierung ""Kantone sorgen für die Alarmierungsplanung.""; Variable 2: Notfallplan ""Sie informieren die Bevölkerung im Überflutungsgebiet (Nahzone und Fernzone)
von Stauanlagen mit Merkblättern und Informationsschriften vorsorglich über das Verhalten bei Gefahr""";NA;NA;"Alarmierung";NA;NA;"Notfallplan"
"18";"Art. 18";"  Art. 18 Gemeinden";"1 Die Gemeinden stellen sicher, dass die Bevölkerung alarmiert werden kann. 2 Sie sorgen für die ständige Betriebsbereitschaft und den Unterhalt ihrer Alarmierungsmittel.";"Nicht kodiert, da eher um Verteilung der Kompetenzen über die Vorbereitung zur Alarmierung bezogen. ";NA;NA;"";NA;NA;""
"19";"Art. 19";"  Art. 19 Betreiber von Kernanlagen";"1 Die Betreiber von Kernanlagen legen in einem Notfallreglement fest: a.die technischen Kriterien für die Auslösung der Warnung und der Alarmierung;b.die Zuständigkeiten innerhalb ihrer Organisation;c.die Meldewege nach aussen. 2 Das Notfallreglement bedarf der Genehmigung durch das ENSI.";"Kernanlagen Alarmierung";NA;NA;"";NA;NA;""
"20";"Art. 20";"  Art. 20 Betreiber von Stauanlagen";"1 Die Betreiber von Stauanlagen legen in einem Notfallreglement insbesondere fest:1 a.die technischen Kriterien für die Auslösung der Warnung und der Alarmierung;b.die Zuständigkeiten innerhalb ihrer Organisation;c.die Meldewege nach aussen. 2 Das Notfallreglement bedarf der Genehmigung durch das Bundesamt für Energie. 3 Die Betreiber von Stauanlagen sorgen für den Unterhalt und die ständige Betriebsbereitschaft der dezentralen Komponenten des Wasseralarmsystems.2 4 Sie stellen die notwendigen externen Notstromsysteme bereit und unterhalten diese.3 1 Fassung gemäss Ziff. I der V vom 29. Nov. 2013, in Kraft seit 1. Jan. 2014 (AS 2013 4475).2 Fassung gemäss Ziff. I der V vom 29. Nov. 2013, in Kraft seit 1. Jan. 2014 (AS 2013 4475).3 Eingefügt durch Ziff. I der V vom 29. Nov. 2013, in Kraft seit 1. Jan. 2014 (AS 2013 4475).";"";NA;NA;"Alarmierung";NA;NA;"Notfallplan"
"21";"Art. 20";"  Art. 20a";"1 Bund und Kantone errichten und betreiben ein Sicherheitsfunknetz für die interkantonale und organisationsübergreifende Zusammenarbeit der Stellen nach Artikel 1 Buchstabe b. 2 Das BABS ist in Zusammenarbeit mit den Behörden und Organisationen für Rettung und Sicherheit des Bundes und der Kantone für die nationalen Komponenten des Sicherheitsfunknetzes zuständig. Zu den Aufgaben gehören: a.Ausarbeitung von technischen Vorgaben zur Nutzung des Sicherheitsfunknetzes;b.Funkfeldversorgungs-, Standort- und Funknetzplanung;c.Koordination der Vermaschung und Vernetzung der Teilnetze der Kantone und des Grenzwachtkorps (GWK);d.Sicherstellung des technischen Betriebs, des Parallelbetriebs und des Werterhalts des gesamten Netzverbunds auf nationaler Ebene;e.Betrieb des Key Management Center;f.Release-, Konfigurations-, Lebenszyklus- und Änderungsmanagement;g.Bereitstellung von normierten Schnittstellenelementen;h.Sicherstellung von Kapazitätserweiterungen;i.Bereitstellung von Gateways für den Parallelbetrieb der bestehenden und neuen Teilnetze der Kantone und des GWK;j.Beschaffung und Ausstellung schweizweiter Lizenzen;k.Migration auf die neue IP-Technologie, einschliesslich Parallelbetrieb;l.zentrale Ausbildung der Systemnutzer und -nutzerinnen;m.Sicherstellung der Notstromversorgung. 3 Die Kantone sind für die kantonalen Komponenten des Sicherheitsfunknetzes zuständig. Zu den Aufgaben gehören: a.Planung, Beschaffung, Realisierung, Betrieb und Instandhaltung der Teilnetze gemäss den Bedingungen und Vorgaben zum Sicherheitsfunknetz;b.Migration der Teilnetze auf die neue IP-Technologie, einschliesslich Parallelbetrieb;c.Sicherstellung von redundanten interkantonalen Verbindungen;d.Sicherstellung von Betrieb, Instandhaltung und Werterhalt der Leitstellen und des Management Center;e.Sicherstellung der Leitstellenanbindungen über normierte Schnittstellen;f.dezentrale Ausbildung der Systemnutzer und -nutzerinnen;g.Sicherstellung der Notstromversorgung.";"";NA;NA;"";NA;NA;""
"22";"Art. 21";"  Art. 211Kostentragung für die technischen Systeme zur Alarmierung der Bevölkerung2";"1 Der Bund trägt die Kosten für: a.die Projektierung, das Material, die Installation, die Erneuerung und den Rückbau der technischen Systeme zur Alarmierung der Bevölkerung;b.den Betrieb und den Unterhalt der zentralen Komponenten der technischen Systeme zur Alarmierung der Bevölkerung. 2 Die Kantone und die Gemeinden tragen die Kosten für den Betrieb und den Unterhalt der dezentralen Komponenten der technischen Systeme zur Alarmierung der Bevölkerung sowie der Sirenen. Sie können die Kosten für den Betrieb und den Unterhalt der Kombisirenen und der entsprechenden dezentralen Komponenten anteilsmässig den Betreibern von Stauanlagen auferlegen. 3 Die Betreiber von Stauanlagen tragen die Kosten für den Betrieb und den Unterhalt der dezentralen Komponenten des Wasseralarmsystems sowie für die Erstellung und Erneuerung der baulichen Infrastruktur. 4 Das BABS begleicht periodisch die Kosten für den Betrieb und den Unterhalt der dezentralen Komponenten der technischen Systeme zur Alarmierung der Bevölkerung nach Absatz 2 sowie des Wasseralarmsystems nach Absatz 3. Es legt die Höhe der Beträge fest und verrechnet diese den Kantonen weiter. Die Beträge können pauschal festgelegt werden. Sie werden regelmässig angepasst, insbesondere an den Landesindex der Konsumentenpreise oder an technisch bedingte neue Anforderungen. 1 Fassung gemäss Ziff. I der V vom 29. Nov. 2013, in Kraft seit 1. Jan. 2014 (AS 2013 4475).2 Eingefügt durch Ziff. I der V vom 15. Febr. 2017, in Kraft seit 1. März 2017 (AS 2017 605).";"";NA;NA;"";NA;NA;""
"23";"Art. 21";"  Art. 21a1Kostentragung für das Sicherheitsfunknetz";"1 Der Bund trägt die Kosten für: a.die Bereitstellung, den Betrieb und den Werterhalt der nationalen Komponenten des Sicherheitsfunknetzes;b.die Bereitstellung, den Betrieb und den Werterhalt von Sicherheitsfunknetz-Standorten des Bundes und von deren Infrastrukturen;c.die Bereitstellung der Endgeräte und die Anbindung der Leitstellen der Behörden und Organisationen für Rettung und Sicherheit auf nationaler Ebene;d.die Bereitstellung der Endgeräte des Zivilschutzes. 2 Die Kantone tragen die Kosten für: a.die Bereitstellung, den Betrieb und den Werterhalt der kantonalen Komponenten des Sicherheitsfunknetzes und der Infrastrukturen ihrer Teilnetze;b.die Anbindung der Infrastrukturen ihrer Teilnetze an die nationalen Komponenten;c.die redundante Verbindung zwischen den Teilnetzen;d.die Bereitstellung der Endgeräte und die Anbindung der Leitstellen der Behörden und Organisationen für Rettung und Sicherheit auf kantonaler Ebene. 3 Das GWK und die Kantone legen zusammen mit dem BABS die Anteile der Kostenbeteiligung für die Mitbenutzung von Sendeanlagen der betroffenen Teilnetzbetreiber fest. 4 Die Betreiber von kritischen Infrastrukturen tragen die Kosten ihrer Endgeräte. 1 Eingefügt durch Ziff. I der V vom 15. Febr. 2017, in Kraft seit 1. März 2017 (AS 2017 605).";"";NA;NA;"";NA;NA;""
"24";"Art. 22";"  Art. 22";"1 Eigentümer und Eigentümerinnen sowie Mieter und Mieterinnen müssen auf ihren Grundstücken Infrastrukturen zur Warnung und Alarmierung dulden. Eine allfällige Wertverminderung wird angemessen entschädigt. 2 Wird ein Dritter durch eine Einrichtung nach Absatz 1, die sich auf privatem Grund befindet, geschädigt, so haftet für den Schaden, wer für den Unterhalt der Einrichtung verantwortlich ist. Wird der Schaden durch vorsätzliches oder grobfahrlässiges Verhalten des Eigentümers oder der Eigentümerin verursacht, so haftet dieser oder diese dafür. 3 Eigentumsbeschränkungen und Haftung für Infrastrukturen des Sicherheitsfunknetzes richten sich nach dem Fernmeldegesetz vom 30. April 19971. 1 SR 784.10";"Entschädignung im Alarmierungskontext. Verbingun Alarmierung-Eigentümerausgleich";NA;NA;"Alarmierung";NA;NA;"Enteignungen und Ausgleich"
"25";"Art. 23";"  Art. 23 Aufhebung und Änderung bisherigen Rechts";"1 Die Alarmierungsverordnung vom 5. Dezember 20031 wird aufgehoben. 2 …2 1 [AS 2003 5165, 2008 5747 Anhang Ziff. 10]2 Die Änderung kann unter AS 2010 5179 konsultiert werden.";"";NA;NA;"";NA;NA;""
"26";"Art. 24";"  Art. 24 Übergangsbestimmung";"Bis die NAZ ihre Aufgaben gemäss Artikel 9 Absatz 3 zweiter Satz wahrnehmen kann, nimmt MeteoSchweiz diese wahr, längstens jedoch bis zum 31. Dezember 2011.";"";NA;NA;"";NA;NA;""
"27";"Art. 24";"  Art. 24a1Übergangsbestimmungen zur Änderung vom 15. Februar 2017";"1 Der Bund trägt seine Kosten für den Parallelbetrieb des Sicherheitsfunknetzes längstens bis 2025. 2 Er kann den Kantonen die technische Nachrüstung ihrer nach 2012 beschafften Sendeanlagen vorfinanzieren, sofern damit der Parallelbetrieb verkürzt werden kann und diese Lösung insgesamt wirtschaftlicher ist. Die Kantone zahlen die Vorfinanzierung bis spätestens Ende 2027 zurück. 1 Eingefügt durch Ziff. I der V vom 15. Febr. 2017, in Kraft seit 1. März 2017 (AS 2017 605).";"";NA;NA;"";NA;NA;""
"28";"Art. 25";"  Art. 25 Inkrafttreten";"Diese Verordnung tritt am 1. Januar 2011 in Kraft.";"";NA;NA;"";NA;NA;""
